Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
"Fort Bend County, TX",US,2020-03-08T17:33:03Z,6,0,0,29.5693,-95.8143
"Harris County, TX",US,2020-03-09T09:13:19Z,6,0,0,29.7752,-95.3103
"Norfolk County, MA",US,2020-03-08T21:13:14Z,6,0,0,42.1767,-71.1449
NA,Dominican Republic,2020-03-08T17:23:08Z,5,0,0,18.7357,-70.1627
NA,French Guiana,2020-03-07T03:23:05Z,5,0,0,3.9339,-53.1258
NA,New Zealand,2020-03-07T02:03:29Z,5,0,0,-40.9006,174.886
"Fulton County, GA",US,2020-03-09T18:53:13Z,5,0,0,33.8034,-84.3963
"Montgomery County, PA",US,2020-03-09T18:33:03Z,5,0,0,40.229,-75.3879
"Unassigned Location, WA",US,2020-03-06T00:33:03Z,5,0,0,47.7511,-120.7401
NA,Afghanistan,2020-03-08T04:53:03Z,4,0,0,33,65
Western Australia,Australia,2020-03-09T18:33:03Z,4,1,0,-31.9505,115.8605
NA,Bulgaria,2020-03-09T14:43:03Z,4,0,0,42.7339,25.4858
NA,Maldives,2020-03-08T21:13:10Z,4,0,0,3.2028,73.2207
NA,Senegal,2020-03-08T20:23:08Z,4,0,1,14.4974,-14.4524
"Bergen County, NJ",US,2020-03-08T21:23:03Z,4,0,0,40.9263,-74.077
"Grafton County, NH",US,2020-03-08T17:53:03Z,4,0,0,43.9088,-71.826
"Kershaw County, SC",US,2020-03-09T00:03:07Z,4,0,0,34.3672,-80.5883
"Montgomery County, MD",US,2020-03-08T21:53:04Z,4,0,0,39.1547,-77.2405
"Orange County, CA",US,2020-03-09T00:23:10Z,4,0,0,33.7879,-117.8531
"Pierce County, WA",US,2020-03-08T21:43:03Z,4,0,0,47.0676,-122.1295
"Rockland County, NY",US,2020-03-09T17:33:13Z,4,0,0,41.1489,-73.983
NA,Bangladesh,2020-03-08T10:53:02Z,3,0,0,23.685,90.3563
NA,Bosnia and Herzegovina,2020-03-07T02:13:09Z,3,0,0,43.9159,17.6791
Quebec,Canada,2020-03-09T08:43:03Z,3,0,0,52.9399,-73.5491
NA,Luxembourg,2020-03-08T05:13:06Z,3,0,0,49.8144,6.1317
NA,Malta,2020-03-08T09:13:16Z,3,0,0,35.9375,14.3754
NA,North Macedonia,2020-03-06T20:23:11Z,3,0,0,41.6086,21.7453
NA,Slovakia,2020-03-08T09:13:15Z,3,0,0,48.669,19.699
NA,South Africa,2020-03-08T10:23:04Z,3,0,0,-30.5595,22.9375
"Broward County, FL",US,2020-03-09T08:53:03Z,3,0,0,26.1901,-80.3659
"Cobb County, GA",US,2020-03-09T03:53:03Z,3,0,0,33.8999,-84.5641
"Douglas County, CO",US,2020-03-07T01:53:03Z,3,0,0,39.2587,-104.9389
"Douglas County, NE",US,2020-03-09T00:53:03Z,3,0,0,41.3148,-96.1951
"Johnson County, IA",US,2020-03-09T08:43:03Z,3,0,0,41.6699,-91.5984
"Maricopa County, AZ",US,2020-03-07T19:53:02Z,3,0,1,33.2918,-112.4291
"Providence County, RI",US,2020-03-07T02:23:08Z,3,0,0,41.8882,-71.4774
"San Diego County, CA",US,2020-03-05T20:33:03Z,3,0,1,32.7157,-117.1611
"Sonoma County, CA",US,2020-03-09T12:03:07Z,3,0,0,38.578,-122.9888
NA,Albania,2020-03-09T09:03:03Z,2,0,0,41.1533,20.1683
Tasmania,Australia,2020-03-08T05:43:04Z,2,0,0,-41.4545,145.9707
NA,Cambodia,2020-03-08T04:53:03Z,2,0,1,11.55,104.9167
NA,Cameroon,2020-03-08T05:23:03Z,2,0,0,3.848,11.5021
NA,Cyprus,2020-03-09T18:33:03Z,2,0,0,35.1264,33.4299
NA,Faroe Islands,2020-03-08T05:13:07Z,2,0,0,61.8926,-6.9118
NA,Martinique,2020-03-07T03:23:05Z,2,0,0,14.6415,-61.0242
NA,Morocco,2020-03-05T13:53:03Z,2,0,0,31.7917,-7.0926
NA,Nigeria,2020-03-09T09:43:03Z,2,0,0,9.082,8.6753
NA,St. Martin,2020-03-09T10:43:06Z,2,0,0,18.0708,-63.0501
NA,Tunisia,2020-03-08T21:13:10Z,2,0,0,33.8869,9.5375
"Alameda County, CA",US,2020-03-07T13:13:14Z,2,0,0,37.6017,-121.7195
"Clark County, NV",US,2020-03-08T21:43:03Z,2,0,0,36.0796,-115.094
"Denver County, CO",US,2020-03-06T23:33:02Z,2,0,0,39.7392,-104.9903
"Fairfax County, VA",US,2020-03-08T21:33:02Z,2,0,0,38.9085,-77.2405
"Harrison County, KY",US,2020-03-09T08:43:03Z,2,0,0,38.4333,-84.3542
"Hendricks County, IN",US,2020-03-09T08:23:03Z,2,0,0,39.8065,-86.5401
"Hillsborough, FL",US,2020-03-03T18:33:02Z,2,0,0,27.9904,-82.3018
"Honolulu County, HI",US,2020-03-09T03:43:03Z,2,0,0,21.307,-157.8584
"Jackson County, OR",US,2020-03-08T00:13:16Z,2,0,0,42.3345,-122.7647
"Lee County, FL",US,2020-03-08T15:33:04Z,2,1,0,26.663,-81.9535
"Manatee County, FL",US,2020-03-09T08:53:03Z,2,0,0,27.4799,-82.3452
"Pinal County, AZ",US,2020-03-07T17:13:23Z,2,0,0,32.8162,-111.2845
"Sacramento County, CA",US,2020-02-27T20:33:02Z,2,0,0,38.4747,-121.3542
"San Benito, CA",US,2020-02-03T03:53:02Z,2,0,0,36.5761,-120.9876
"San Mateo, CA",US,2020-03-03T00:43:02Z,2,0,0,37.563,-122.3255
"Saratoga County, NY",US,2020-03-07T18:23:05Z,2,0,0,43.0324,-73.936
"Summit County, CO",US,2020-03-06T01:29:39Z,2,0,0,39.5912,-106.064
"Washington, D.C.",US,2020-03-08T13:53:03Z,2,0,0,38.9072,-77.0369
"Washoe County, NV",US,2020-03-08T21:43:03Z,2,0,0,40.5608,-119.6035
NA,Andorra,2020-03-02T20:23:16Z,1,0,0,42.5063,1.5218
NA,Armenia,2020-03-01T19:53:02Z,1,0,0,40.0691,45.0382
NA,Bhutan,2020-03-06T15:43:02Z,1,0,0,27.5142,90.4336
NA,Brunei,2020-03-09T18:33:03Z,1,0,0,4.5353,114.7277
